ZIP,LOT AREA MEASUREMENT,lat,lng
70810,0.23,30.31277,-91.11799
70810,0.22,30.31277,-91.11782
70810,0.27,30.31277,-91.1184
70810,0.21,30.31278,-91.11817
70810,0.22,30.31281,-91.1166
70810,0.23,30.31282,-91.11677
70810,0.28,30.31284,-91.11868
70810,0.22,30.31285,-91.11695
70810,0.2,30.31285,-91.11748
70810,0.2,30.31285,-91.11764
70810,0.21,30.31286,-91.11641
70810,0.18,30.31287,-91.1173
70810,0.21,30.31287,-91.11713
70810,0.2,30.31288,-91.11624
70810,0.24,30.31288,-91.11545
70810,0.18,30.3129,-91.11609
70810,0.17,30.31292,-91.11554
70810,0.16,30.31292,-91.11574
70810,0.19,30.31295,-91.11586
70810,0.26,30.31295,-91.11517
70810,0.17,30.31305,-91.11874
70810,0.19,30.31306,-91.11511
70810,0.16,30.31318,-91.11882
70810,0.31,30.31319,-91.12048
70810,0.16,30.3132,-91.11496
70810,0.33,30.31325,-91.12076
70810,0.16,30.31327,-91.1148
70810,0.23,30.31327,-91.12011
70810,0.14,30.31334,-91.1199
70810,0.22,30.31335,-91.11889
70810,0.14,30.31336,-91.11975
70810,0.21,30.31336,-91.11581
70810,0.16,30.31337,-91.11782
70810,0.21,30.31337,-91.11801
70810,0.16,30.31338,-91.11474
70810,0.14,30.31339,-91.11959
70810,0.18,30.3134,-91.11675
70810,0.18,30.3134,-91.11748
70810,0.19,30.3134,-91.11765
70810,0.21,30.3134,-91.11638
70810,0.18,30.31341,-91.11657
70810,0.16,30.31342,-91.11943
70810,0.18,30.31342,-91.11731
70810,0.21,30.31342,-91.11716
70810,0.22,30.31343,-91.11919
70810,0.18,30.31345,-91.11692
70810,0.21,30.31346,-91.11819
70810,0.16,30.3135,-91.11463
70810,0.18,30.31351,-91.11582
70810,0.16,30.31352,-91.11449
70810,0.18,30.31353,-91.11834
70810,0.22,30.31356,-91.1206
70810,0.18,30.31363,-91.11847
70810,0.16,30.31364,-91.11436
70810,0.18,30.31365,-91.11533
70810,0.18,30.31366,-91.11587
70810,0.17,30.31373,-91.11518
70810,0.2,30.31375,-91.11862
70810,0.16,30.31376,-91.11427
70810,0.14,30.31378,-91.12047
70810,0.18,30.31379,-91.1151
70810,0.16,30.31381,-91.11418
70810,0.18,30.31381,-91.11579
70810,0.54,30.31388,-91.12081
70810,0.2,30.31388,-91.11875
70810,0.18,30.31389,-91.11968
70810,0.22,30.31391,-91.11897
70810,0.16,30.31391,-91.11407
70810,1.86,30.31391,-91.11544
70810,0.19,30.31391,-91.11916
70810,0.25,30.31392,-91.11979
70810,0.19,30.31392,-91.11935
70810,0.16,30.31392,-91.11951
70810,0.15,30.31392,-91.1204
70810,0.18,30.31393,-91.11495
70810,0.18,30.31395,-91.11579
70810,0.18,30.31399,-91.11484
70810,0.17,30.31399,-91.11391
70810,0.21,30.31406,-91.11626
70810,0.18,30.31407,-91.12034
70810,0.19,30.31407,-91.11646
70810,0.19,30.31409,-91.11664
70810,0.19,30.3141,-91.11683
70810,0.18,30.31411,-91.11576
70810,0.39,30.31411,-91.1136
70810,0.2,30.31411,-91.11703
70810,0.21,30.31412,-91.11976
70810,0.19,30.31412,-91.11722
70810,0.18,30.31413,-91.1174
70810,0.18,30.31413,-91.11467
70810,0.18,30.31414,-91.11757
70810,0.22,30.31415,-91.11377
70810,0.18,30.31415,-91.11775
70810,0.2,30.31416,-91.11794
70810,1.91,30.31418,-91.11843
70810,0.18,30.3142,-91.11458
70810,0.18,30.31424,-91.11574
70810,0.23,30.31427,-91.11816
70810,0.23,30.31432,-91.11442
70810,0.17,30.31441,-91.11858
70810,0.21,30.31443,-91.11377
70810,0.59,30.31443,-91.11655
70810,0.18,30.31446,-91.11966
70810,0.54,30.31447,-91.12364
70810,0.27,30.31447,-91.11827
70810,0.22,30.31448,-91.12033
70810,0.02,30.3145,-91.11788
70810,0.39,30.31453,-91.12324
70810,0.39,30.31457,-91.12296
70810,0.19,30.3146,-91.1203
70810,0.17,30.3146,-91.11396
70810,0.35,30.31464,-91.1227
70810,0.19,30.31465,-91.11412
70810,0.15,30.31467,-91.11732
70810,0.47,30.31467,-91.12243
70810,0.22,30.31468,-91.1158
70810,0.18,30.31468,-91.11716
70810,0.49,30.31468,-91.12465
70810,0.18,30.31469,-91.11563
70810,0.18,30.31469,-91.11699
70810,0.14,30.31469,-91.11684
70810,0.17,30.3147,-91.11669
70810,0.17,30.31471,-91.11637
70810,0.17,30.31471,-91.11653
70810,0.18,30.31471,-91.11528
70810,0.2,30.31472,-91.1162
70810,0.18,30.31473,-91.1151
70810,0.18,30.31473,-91.11493
70810,6.74,30.31474,-91.11895
70810,0.18,30.31474,-91.11544
70810,0.76,30.31476,-91.12213
70810,0.7,30.31476,-91.12387
70810,0.19,30.31478,-91.12025
70810,0.25,30.31478,-91.11478
70810,0.52,30.31481,-91.11336
70810,0.2,30.31484,-91.11413
70810,0.38,30.31485,-91.11365
70810,0.82,30.31485,-91.12178
